calculation_id,formula,source_ids,assumption_ids,input_calculation_ids,input_values,input_units,output_value,output_unit,script_path,script_version,notes
CALC_PHL_V18_TAMAXCI_PP_WON_2035,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=3.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,3.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2036,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=3.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,3.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2037,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=3.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,3.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2038,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=3.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,3.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2039,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=3.0;residual_retirement=0.315290021082;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,3.315290021082,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2040,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0.093373155306;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.093373155306,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2041,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2042,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2043,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2044,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2045,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2046,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2047,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2048,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2049,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2050,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=5.0;residual_retirement=0;recycled=0;life=25,GW/year;GW/year;GW/year;GW/year;years,5.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2051,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,CALC_PHL_V18_TAMAXCI_PP_WON_2026,committed=0;expansion=5.0;residual_retirement=0;recycled=1.5;life=25,GW/year;GW/year;GW/year;GW/year;years,6.5,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2052,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,CALC_PHL_V18_TAMAXCI_PP_WON_2027,committed=0;expansion=5.0;residual_retirement=0;recycled=1.5;life=25,GW/year;GW/year;GW/year;GW/year;years,6.5,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_WON_2053,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_BOI_SAN_JOSE_WIND_2026;SRC_VNM_EVN_WIND_2021,ASM_PHL_V18_DEPLOY_PP_WON_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,CALC_PHL_V18_TAMAXCI_PP_WON_2028,committed=0;expansion=5.0;residual_retirement=0;recycled=1.5;life=25,GW/year;GW/year;GW/year;GW/year;years,6.5,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2026,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2026_2029;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=4.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,4.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2027,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2026_2029;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=4.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,4.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2028,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2026_2029;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=4.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,4.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2029,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2026_2029;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=4.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,4.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2030,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2031,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2032,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2033,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2034,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0.001072721532;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.001072721532,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2035,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2036,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2037,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2038,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2039,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2030_2039;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=7.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,7.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2040,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=10.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,10.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2041,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=10.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,10.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
CALC_PHL_V18_TAMAXCI_PP_SPV_2042,"max(existing committed allowance, expansion envelope) + positive residual-capacity retirement + TAMaxCI[y-OperationalLife] for envelope vintages from 2026",SRC_MUIO_FORMULATION;SRC_PHL_DOE_POWER_STATISTICS_2024;SRC_HEGGARTY_MAX_INVESTMENT_RATE_2024;SRC_PHL_PCO_MTERRA_2026,ASM_PHL_V18_DEPLOY_PP_SPV_2040_2053;ASM_PHL_V18_DEPLOY_RECYCLE_START_2026,,committed=0;expansion=10.0;residual_retirement=0;recycled=0;life=30,GW/year;GW/year;GW/year;GW/year;years,10.0,GW/year,scripts/apply_philippines_v18_deployment_envelopes.py,v1,classification=calculated; upper bound only; capacity and dispatch remain endogenous
